gene_id	cluster
YBR103W	1
YBR196C	1
YBR236C	1
YCR009C	1
YDL193W	1
YDR089W	1
YGL261C	1
YGR021W	1
YGR087C	1
YHR033W	1
YHR043C	1
YIL138C	1
YIL154C	1
YJR046W	1
YKR002W	1
YLL006W	1
YMR237W	1
YMR303C	1
YNL138W	1
YNL250W	1
YOL038W	1
YOL075C	1
YOL086C	1
YOL104C	1
YOR157C	1
YPR054W	1
YBL098W	2
YBR262C	2
YDL172C	2
YDR051C	2
YDR163W	2
YDR237W	2
YDR308C	2
YDR510W	2
YER190W	2
YGL040C	2
YGL200C	2
YGL210W	2
YGR031W	2
YGR040W	2
YHL038C	2
YHR060W	2
YHR083W	2
YJR021C	2
YKL075C	2
YKR007W	2
YKR037C	2
YLR253W	2
YMR019W	2
YMR238W	2
YOR076C	2
YPR037C	2
YAR009C	3
YBL089W	3
YBR002C	3
YBR033W	3
YBR094W	3
YBR099C	3
YBR163W	3
YDL192W	3
YDR072C	3
YDR174W	3
YDR352W	3
YDR483W	3
YEL001C	3
YEL063C	3
YFL006W	3
YGL100W	3
YGR180C	3
YGR279C	3
YJR055W	3
YKL027W	3
YKL032C	3
YKL114C	3
YKL175W	3
YLL043W	3
YNL070W	3
YNL165W	3
YNL167C	3
YNL171C	3
YNL245C	3
YOL011W	3
YOR331C	3
YPL205C	3
YPL215W	3
YBR136W	4
YER017C	4
YER111C	4
YFL031W	4
YGL215W	4
YJL083W	4
YJL222W	4
YJR113C	4
YJR151C	4
YLR024C	4
YLR116W	4
YMR066W	4
YPR084W	4
