gene	mean	sd	cv
YPR113W	2.29231316468364e-18	0.385794034475699	168299009236350432
YDR030C	0.000384615384615391	0.519572753475243	1350.88915903561
YEL022W	0.000769230769230779	0.683993702175235	889.191812827795
YOR391C	0.00136363636363636	0.784166499901073	575.055433260786
YDR173C	0.000666666666666667	0.380153628957025	570.230443435537
YDR386W	0.00107142857142857	0.589182354251081	549.903530634341
YOR326W	0.000799999999999996	0.417322017950966	521.65252243871
YDR141C	0.000999999999999996	0.457160275222355	457.160275222357
YPL064C	0.000689655172413789	0.313755262158294	454.945130129529
YDR035W	0.00200000000000001	0.837316732392723	418.658366196359
